player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Alex Michelsen,17,6.6,3.3,66.6,70.7,50.5,57.1,38.0,27.4,23.1,1.19,11.9,7.6
Dustin Brown,16,10.8,4.9,64.6,72.6,50.9,64.9,36.0,33.9,22.8,1.49,15.9,8.5
Cedric Pioline,16,6.5,3.5,58.1,72.2,51.7,60.3,33.0,33.1,33.4,0.99,14.2,11.4
Pat Cash,16,5.1,3.5,61.1,72.6,51.8,59.3,36.7,43.3,28.3,1.53,20.1,16.8
Christopher Oconnell,16,6.7,2.3,60.0,69.5,45.7,62.3,33.9,28.2,34.2,0.82,13.9,5.8
Thiago Seyboth Wild,16,5.7,3.9,61.8,68.5,48.2,58.6,36.6,33.2,40.9,0.81,19.7,6.0
Gijs Brouwer,16,6.0,2.7,69.4,69.4,50.1,56.1,35.4,20.3,25.8,0.79,11.8,3.9
Radek Stepanek,16,7.7,3.8,61.9,69.4,44.8,56.5,32.6,29.7,28.2,1.05,13.4,8.4
Sergiy Stakhovsky,16,12.1,3.7,61.5,72.3,51.7,63.7,30.5,24.5,24.4,1.0,7.8,7.0
Roman Safiullin,15,8.2,3.9,59.8,68.6,50.6,58.6,32.7,31.4,40.7,0.77,15.4,5.8
Yannick Hanfmann,15,5.4,2.2,67.0,63.1,53.0,51.5,35.5,26.2,26.2,1.0,12.0,5.7
Tim Van Rijthoven,15,16.2,3.6,64.3,78.9,55.6,65.9,30.8,35.1,33.3,1.05,14.9,5.2
Pierre Hugues Herbert,15,8.9,5.5,59.0,74.1,52.0,54.0,30.7,32.5,28.0,1.16,13.9,8.3
Henri Leconte,15,5.4,4.2,52.6,70.5,51.8,51.7,35.8,39.9,37.3,1.07,19.2,14.3
Thomas Enqvist,15,12.0,5.6,53.5,75.1,53.4,61.2,37.2,33.7,35.2,0.96,12.1,10.3
Ivan Ljubicic,15,14.6,3.0,59.2,76.6,49.9,66.7,30.2,37.9,34.5,1.1,13.2,9.3
Gilles Muller,15,13.6,4.5,61.6,77.4,49.4,77.0,26.9,37.7,27.7,1.36,15.6,7.2
Leonardo Mayer,15,5.6,5.1,60.7,68.8,51.5,56.9,30.5,26.3,36.1,0.73,15.0,5.5
Martin Klizan,14,6.6,4.2,61.6,70.3,50.5,64.0,37.4,21.7,30.7,0.71,11.5,4.5
Daniel Elahi Galan,14,6.5,2.1,62.7,65.9,46.3,58.2,34.5,26.1,32.1,0.81,14.0,3.9
Mardy Fish,14,11.8,4.4,52.7,74.4,49.4,60.2,32.8,31.6,31.7,1.0,12.1,8.1
Wayne Ferreira,14,8.1,3.3,54.7,67.9,48.1,60.8,37.2,26.6,30.3,0.88,13.3,6.6
Gabriel Diallo,14,11.4,4.6,65.2,71.7,46.0,55.8,31.8,29.6,34.5,0.86,11.7,4.5
Sebastien Grosjean,14,8.4,2.3,52.5,70.9,49.1,55.3,33.3,30.6,33.3,0.92,16.2,5.6
