player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Adrian Andreev,6,4.0,3.2,64.1,65.7,47.7,57.7,40.4,25.5,31.5,0.81,16.7,4.7
Soon Woo Kwon,6,7.8,4.0,60.7,68.6,52.6,69.8,37.0,26.2,30.0,0.87,12.2,7.3
Dudi Sela,6,2.6,4.6,57.3,71.1,54.0,55.2,36.6,13.7,15.3,0.89,5.3,6.3
Jason Kubler,6,7.3,4.6,64.7,65.1,46.2,56.7,36.3,35.2,43.7,0.81,16.2,8.7
Magnus Gustafsson,6,3.9,4.7,67.1,62.6,43.1,60.0,34.5,22.0,30.5,0.72,13.0,5.7
Teymuraz Gabashvili,6,4.4,4.6,57.7,65.3,50.5,54.8,32.8,28.3,31.2,0.91,17.2,6.5
Kamil Majchrzak,6,5.3,1.3,60.8,70.1,58.7,61.8,38.6,27.5,25.8,1.06,10.3,9.7
Juan Monaco,6,2.6,2.3,68.8,53.8,45.4,51.9,33.1,8.7,22.5,0.39,4.3,2.8
Guillermo Vilas,6,2.1,4.5,61.5,58.4,51.0,51.6,38.4,27.3,30.8,0.89,16.3,9.2
Oscar Otte,6,11.1,6.2,56.0,70.7,51.2,60.0,32.0,27.0,27.5,0.98,11.3,7.0
Marinko Matosevic,6,6.2,5.5,60.6,70.5,41.9,60.4,30.7,19.2,29.7,0.65,6.7,6.8
Marius Copil,6,15.3,3.8,59.8,74.4,56.7,57.7,35.0,24.5,26.3,0.93,8.2,5.7
Andrea Vavassori,6,7.2,3.3,66.5,61.7,44.6,56.1,30.7,17.3,19.2,0.9,8.8,2.2
Yibing Wu,6,5.4,2.1,62.4,68.6,55.7,60.6,33.9,28.5,29.7,0.96,14.8,5.0
Rainer Schuettler,6,5.0,2.9,54.4,67.0,50.2,49.1,33.8,23.3,28.0,0.83,11.0,8.3
Pedro Cachin,6,6.8,2.3,60.7,71.2,50.7,56.4,35.5,26.8,36.0,0.75,13.2,7.7
Prajnesh Gunneswaran,6,5.4,2.7,67.3,70.7,52.1,56.0,26.8,19.7,20.8,0.94,13.0,2.0
Raphael Collignon,6,6.4,6.5,65.6,71.2,42.9,63.9,37.0,32.2,40.5,0.79,15.8,7.3
Sjeng Schalken,6,3.7,2.7,71.5,66.8,49.3,64.4,31.2,30.5,34.2,0.89,13.2,11.3
Leandro Riedi,5,4.6,2.7,68.3,69.1,54.2,63.3,24.3,22.2,35.2,0.63,13.0,5.2
Jozef Kovalik,5,3.9,4.2,67.5,68.1,46.5,50.0,31.8,19.0,22.4,0.85,11.0,5.0
Karol Kucera,5,8.5,7.1,53.5,67.7,42.6,56.2,35.2,34.8,38.2,0.91,14.4,11.0
Julien Benneteau,5,9.9,4.0,67.3,70.3,42.5,60.0,31.2,32.0,23.4,1.37,13.2,7.8
Juan Ignacio Chela,5,5.3,3.0,62.3,65.4,43.0,58.3,33.3,13.6,21.6,0.63,6.4,4.0
Donald Young,5,2.5,5.8,62.8,56.6,40.0,35.5,32.4,11.8,23.0,0.51,7.4,3.0
John Newcombe,5,6.7,4.8,56.8,76.0,50.9,68.0,38.0,46.0,31.4,1.46,22.2,14.8
Dominik Hrbaty,5,8.1,5.9,55.8,66.9,49.8,53.8,33.1,29.4,43.0,0.68,10.6,10.2
Dino Prizmic,5,6.2,3.0,65.3,66.1,47.9,52.1,35.4,26.0,32.4,0.8,14.4,5.2
Horacio Zeballos,5,7.0,2.3,63.1,71.3,63.6,54.5,34.5,20.8,20.0,1.04,8.6,6.4
Dennis Novak,5,6.3,5.1,60.3,66.0,45.9,51.3,32.5,21.2,28.8,0.74,12.2,4.0
Victor Estrella,5,4.7,2.4,61.7,59.8,51.0,45.7,34.2,20.2,29.6,0.68,10.8,2.6
Valentin Royer,5,8.8,3.6,61.7,71.8,51.0,59.1,37.1,33.8,40.6,0.83,17.6,4.8
Evgeny Donskoy,5,6.4,2.9,59.8,73.2,51.4,50.0,33.7,22.2,18.8,1.18,13.2,4.0
Facundo Bagnis,5,6.0,3.4,63.5,70.1,45.4,70.6,32.7,24.6,42.2,0.58,12.8,5.8
Marc Polmans,5,6.8,2.9,67.5,64.6,47.3,56.4,40.2,29.6,38.0,0.78,11.4,10.6
Nicolas Lapentti,5,7.6,3.9,58.1,62.4,43.3,58.5,31.5,21.0,24.4,0.86,10.4,4.2
Michael Mmoh,5,8.0,5.8,64.8,69.1,49.6,53.8,29.3,20.0,22.4,0.89,9.0,4.0
Elmer Moller,5,4.8,5.4,61.5,62.0,48.2,53.8,38.1,24.4,40.0,0.61,8.0,11.2
Emilio Nava,5,8.8,4.1,66.5,72.4,54.0,63.4,33.2,40.2,48.0,0.84,17.8,10.0
Michael Berrer,5,9.9,2.2,69.1,69.6,51.8,64.5,30.2,26.0,18.8,1.38,10.6,7.0
Robby Ginepri,5,7.6,3.0,63.8,62.3,48.9,53.7,28.8,29.8,36.8,0.81,14.0,7.4
Brayden Schnur,5,11.0,3.0,69.7,73.9,48.7,73.0,27.6,36.0,32.6,1.1,14.6,7.0
Filippo Volandri,5,2.2,3.1,62.4,61.0,50.0,57.1,41.5,18.4,29.8,0.62,10.2,6.4
Filip Misolic,5,3.7,2.5,60.3,73.2,47.7,65.9,40.9,27.2,25.4,1.07,14.4,9.6
Vitas Gerulaitis,5,3.7,3.1,60.9,69.6,43.5,52.0,34.9,34.2,26.0,1.32,17.8,11.8
Rod Laver,5,5.4,3.3,61.0,67.6,49.3,54.9,43.1,48.8,34.0,1.44,22.8,20.0
Steve Darcis,5,7.5,1.9,57.8,69.3,46.7,60.7,36.2,27.0,32.4,0.83,13.8,6.2
Andreas Haider Maurer,5,7.2,5.0,56.8,71.7,47.4,65.6,31.9,19.8,24.6,0.8,9.8,4.4
Tim Smyczek,5,5.3,3.4,64.7,66.2,54.7,63.2,35.2,27.0,40.2,0.67,14.0,6.8
Yuichi Sugita,5,4.4,3.1,60.2,60.4,55.9,58.3,38.3,12.2,23.8,0.51,6.0,3.4
