id,nom_local,type_local,building_id,nom_batiment,latitude,longitude,dgfip_reference_norm,created_at
2502,LA CALANDRETA DELS DALFINETS,PRINCIPAL,1258,LA CALANDRETA DELS DALFINETS,,,,2026-08-20 07:56:19.935745+00
2503,POSTE DE SECOURS LAZARET,PRINCIPAL,1260,POSTE DE SECOURS LAZARET,,,,2026-08-20 07:56:20.170584+00
2504,POSTE DE SECOURS 3 DIGUES,PRINCIPAL,1261,POSTE DE SECOURS 3 DIGUES,,,,2026-08-20 07:56:20.290558+00
2505,COMPLEXE DOUCHES ET WC 3 DIGUES,PRINCIPAL,1262,COMPLEXE DOUCHES ET WC 3 DIGUES,,,,2026-08-20 07:56:20.408566+00
2506,LES NOUVEAUX BAINS DOUCHES,PRINCIPAL,1264,LES NOUVEAUX BAINS DOUCHES,,,,2026-08-20 07:56:20.641743+00
2507,ARCHIVES MUNICIPAL,PRINCIPAL,1269,ARCHIVES MUNICIPAL,,,,2026-08-20 07:56:21.096069+00
2508,LUDOTHEQUE,PRINCIPAL,1270,LUDOTHEQUE,,,,2026-08-20 07:56:21.21359+00
2509,LA PASSERELLE,PRINCIPAL,1271,LA PASSERELLE,,,,2026-08-20 07:56:21.329898+00
2510,MEDIATHEQUE MALRAUX,PRINCIPAL,1272,MEDIATHEQUE MALRAUX,,,,2026-08-20 07:56:21.446785+00
2511,MUSEE DE LA MER (EX IFREMER),PRINCIPAL,1273,MUSEE DE LA MER (EX IFREMER),,,,2026-08-20 07:56:21.565581+00
2512,SERVICE ANIMATION,PRINCIPAL,1274,SERVICE ANIMATION,,,,2026-08-20 07:56:21.615636+00
2513,MUSEE INTERNATIONAL DES ARTS MODESTES,PRINCIPAL,1275,MUSEE INTERNATIONAL DES ARTS MODESTES,,,,2026-08-20 07:56:21.7338+00
2514,NOUVEAU CSU,PRINCIPAL,1277,NOUVEAU CSU,,,,2026-08-20 07:56:21.969535+00
2515,THAU AVENIR PETANQUE,PRINCIPAL,1278,THAU AVENIR PETANQUE,,,,2026-08-20 07:56:22.086749+00
2516,COMPLEXE DOUCHES ET WC LIDO,PRINCIPAL,1285,COMPLEXE DOUCHES ET WC LIDO,,,,2026-08-20 07:56:22.841543+00
2517,POSTE DE SECOURS VILLEROY CENTRE,PRINCIPAL,1286,POSTE DE SECOURS VILLEROY CENTRE,,,,2026-08-20 07:56:22.959877+00
2518,POSTE DE SECOURS VILLEROY OUEST,PRINCIPAL,1287,POSTE DE SECOURS VILLEROY OUEST,,,,2026-08-20 07:56:23.077498+00
2519,WC N°5 LIDO,PRINCIPAL,1288,WC N°5 LIDO,,,,2026-08-20 07:56:23.196475+00
2520,WC PUBLICS LIDO,PRINCIPAL,1289,WC PUBLICS LIDO,,,,2026-08-20 07:56:23.317471+00
2521,WC PUBLICS N°6 LIDO,PRINCIPAL,1290,WC PUBLICS N°6 LIDO,,,,2026-08-20 07:56:23.436654+00
2522,PUPILLES ENSEIGNEMENT PUBLIC,PRINCIPAL,1291,PUPILLES ENSEIGNEMENT PUBLIC,,,,2026-08-20 07:56:23.556895+00
2523,WC PUBLIC,PRINCIPAL,1292,WC PUBLIC,,,,2026-08-20 07:56:23.673577+00
2524,BAT RESIDENCE GOLF DU LION,PRINCIPAL,1294,BAT RESIDENCE GOLF DU LION,,,,2026-08-20 07:56:23.906395+00
2525,COPRO RES. LES JARDINS DE LA MER,PRINCIPAL,1296,COPRO RES. LES JARDINS DE LA MER,,,,2026-08-20 07:56:24.073636+00
2526,RESIDENCE LES METAIRIES - ESPACE DE L AMITIE LES METAIRIES,PRINCIPAL,1297,RESIDENCE LES METAIRIES - ESPACE DE L AMITIE LES METAIRIES,,,,2026-08-20 07:56:24.192526+00
2527,RESIDENCE VIA NOSTRA,PRINCIPAL,1298,RESIDENCE VIA NOSTRA,,,,2026-08-20 07:56:24.310511+00
2528,CHAI SAINT RAPHAEL,PRINCIPAL,1299,CHAI SAINT RAPHAEL,,,,2026-08-20 07:56:24.428942+00
2529,GYMNASE ALFRED NAKACHE,PRINCIPAL,1300,GYMNASE ALFRED NAKACHE,,,,2026-08-20 07:56:24.547048+00
2530,SALLE BRASSENS PROVISOIRE MAS COULET,PRINCIPAL,1301,SALLE BRASSENS PROVISOIRE MAS COULET,,,,2026-08-20 07:56:24.66181+00
2531,SERRE MUNICIPALE - CENTRE HORTICOLE,PRINCIPAL,1302,SERRE MUNICIPALE - CENTRE HORTICOLE,,,,2026-08-20 07:56:24.783895+00
2532,FOYER RESTAURANT LE VALLON,PRINCIPAL,1303,FOYER RESTAURANT LE VALLON,,,,2026-08-20 07:56:24.905655+00
2533,SERVICE DES AINES,PRINCIPAL,1304,SERVICE DES AINES,,,,2026-08-20 07:56:25.025533+00
2534,SERVICE ENSEIGNEMENT,PRINCIPAL,1305,SERVICE ENSEIGNEMENT,,,,2026-08-20 07:56:25.075805+00
2535,SMA VICTOR HUGO,PRINCIPAL,1306,SMA VICTOR HUGO,,,,2026-08-20 07:56:25.190599+00
2536,VESTIAIRES STADE JOSEPH UJLAKI,PRINCIPAL,1307,VESTIAIRES STADE JOSEPH UJLAKI,,,,2026-08-20 07:56:25.241742+00
2537,STAND DE TIR,PRINCIPAL,1308,STAND DE TIR,,,,2026-08-20 07:56:25.359726+00
2538,STATUE RABASTE,PRINCIPAL,1310,STATUE RABASTE,,,,2026-08-20 07:56:25.595801+00
2539,STRUCTURE MULTIACCUEIL DES HIPPOCAMPES,PRINCIPAL,1312,STRUCTURE MULTIACCUEIL DES HIPPOCAMPES,,,,2026-08-20 07:56:25.837704+00
2540,THEATRE MOLIERE,PRINCIPAL,1314,THEATRE MOLIERE,,,,2026-08-20 07:56:26.075703+00
