id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
27;Guide de durée de vie d'un matériel .pdf;5;27;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Vitrage;40;45;50;;;;
28;Guide de durée de vie d'un matériel .pdf;5;28;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Store interieur d'occultation à manœuvre électrique;10;15;20;;;;
29;Guide de durée de vie d'un matériel .pdf;5;29;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Fenêtre ou porte fenêtre complète avec vitrage isolant (battant);20;24;30;;;;BAT-EN-104
30;Guide de durée de vie d'un matériel .pdf;5;30;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Fenêtre ou porte fenêtre complète avec vitrage isolant (coulissant);15;20;25;;;;
31;Guide de durée de vie d'un matériel .pdf;5;31;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Volets, persiennes (battant);30;35;40;;;;
32;Guide de durée de vie d'un matériel .pdf;5;32;A.1;Ouvrages;A.1.1;Le Clos et Couvert du Bâtiment;Menuiseries et serrureries extérieures (châssis vitrés fixes, fenêtres, porte fenêtres, portes, etc.);;;Volets, persiennes (coulissant);15;20;25;;;;
33;Guide de durée de vie d'un matériel .pdf;5;33;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Bordures;;50;;;;;
34;Guide de durée de vie d'un matériel .pdf;5;34;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Chaussée;;35;;;;;
35;Guide de durée de vie d'un matériel .pdf;5;35;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Evergreen;;35;;;;;
36;Guide de durée de vie d'un matériel .pdf;5;36;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Bandes de délimitation parking en peinture;;6;;;;;
37;Guide de durée de vie d'un matériel .pdf;5;37;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Bandes podotactiles;;6;;;;;
38;Guide de durée de vie d'un matériel .pdf;5;38;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Passage piétons;;6;;;;;
39;Guide de durée de vie d'un matériel .pdf;5;39;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Voirie – Parkings (voies de circulation et de stationnement des véhicules, trottoirs, bordures et caniveaux);;;Panneau de signalisation;15;20;30;;;;
40;Guide de durée de vie d'un matériel .pdf;5;40;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Espaces verts;;;Arbre tige haute 10/20;;35;;;;;
41;Guide de durée de vie d'un matériel .pdf;5;41;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Espaces verts;;;Engazonnement;15;25;40;;;;
42;Guide de durée de vie d'un matériel .pdf;5;42;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Espaces verts;;;Haie;15;25;40;;;;
43;Guide de durée de vie d'un matériel .pdf;5;43;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Espaces verts;;;Mobilier de jardin (Hors PVC);10;15;40;;;;
44;Guide de durée de vie d'un matériel .pdf;5;44;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Clôtures (grillages, palissades, murs , portails et portillons);;;Grillage, palissade;5;8;20;;;;
45;Guide de durée de vie d'un matériel .pdf;5;45;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Clôtures (grillages, palissades, murs , portails et portillons);;;Mur;30;40;50;;;;
46;Guide de durée de vie d'un matériel .pdf;5;46;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Clôtures (grillages, palissades, murs , portails et portillons);;;Portail piétons ou véhicules (Non motorisé);10;15;20;;;;
47;Guide de durée de vie d'un matériel .pdf;5;47;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Arrosage automatique (disconnecteurs, canalisations, aspergeurs, goutteurs programmateurs);;;Réseau enterré;8;10;15;;;;
48;Guide de durée de vie d'un matériel .pdf;5;48;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Arrosage automatique (disconnecteurs, canalisations, aspergeurs, goutteurs programmateurs);;;Aspergeurs, goutteurs;3;4;5;;;;
49;Guide de durée de vie d'un matériel .pdf;5;49;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Arrosage automatique (disconnecteurs, canalisations, aspergeurs, goutteurs programmateurs);;;Disconnecteur;15;20;25;;;;
50;Guide de durée de vie d'un matériel .pdf;5;50;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Réseau d'alimentation gaz;;;Coffret gaz;;30;;;;;
51;Guide de durée de vie d'un matériel .pdf;5;51;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Réseau d'alimentation gaz;;;Tube PEHD Gaz sous fourreau ventilé;;50;;;;;
52;Guide de durée de vie d'un matériel .pdf;5;52;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Réseaux d’assainissement enterrés (bouches d’engouffrement, bacs de décantation, canalisations, regards et tampons de visites);;;Canalisations;;30;;;;;
53;Guide de durée de vie d'un matériel .pdf;5;53;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Réseaux d’assainissement enterrés (bouches d’engouffrement, bacs de décantation, canalisations, regards et tampons de visites);;;Regards;;50;;;;;
54;Guide de durée de vie d'un matériel .pdf;5;54;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Bassins et fosses d’eaux pluviales;;;Canalisations;;30;;;;;
55;Guide de durée de vie d'un matériel .pdf;5;55;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Bassins et fosses d’eaux pluviales;;;Regards;;50;;;;;
56;Guide de durée de vie d'un matériel .pdf;5;56;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Fosse de séparation des hydrocarbures (fosse de débourbage, séparateur);;;Canalisations;;30;;;;;
57;Guide de durée de vie d'un matériel .pdf;5;57;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Fosse de séparation des hydrocarbures (fosse de débourbage, séparateur);;;Regards;;50;;;;;
58;Guide de durée de vie d'un matériel .pdf;5;58;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Pompe d’exhaure, de relevage;;;Pompe;5;10;15;;;;
59;Guide de durée de vie d'un matériel .pdf;5;59;A.1;Ouvrages;A.1.2;Les Aménagements Extérieurs;Cuve fuel enterrée;;;Cuve Acier;;25;;;;;
60;Guide de durée de vie d'un matériel .pdf;6;1;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Bloc-porte bois;20;25;35;;;;
61;Guide de durée de vie d'un matériel .pdf;6;2;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Châssis intérieur menuisé;;100;;;;;
62;Guide de durée de vie d'un matériel .pdf;6;3;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Escalier et marches en bois;;50;;;;;
63;Guide de durée de vie d'un matériel .pdf;6;4;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Escalier et marches métalliques;;50;;;;;
64;Guide de durée de vie d'un matériel .pdf;6;5;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Echelle ou passerelle métalliques;;50;;;;;
65;Guide de durée de vie d'un matériel .pdf;6;6;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Garde-corps et main-courante;;35;;;;;
66;Guide de durée de vie d'un matériel .pdf;6;7;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Portes de sas d'entrée;;20;;;;;
