id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
113;Guide de durée de vie d'un matériel .pdf;7;7;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Commutateur Statique (STS) et Commutateur de Transfert Automatique (ATS);8;12;15;;;;
114;Guide de durée de vie d'un matériel .pdf;7;8;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Disjoncteurs BT;10;20;30;;;;
115;Guide de durée de vie d'un matériel .pdf;7;9;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Tableaux électrique BT;;40;;;;;
116;Guide de durée de vie d'un matériel .pdf;7;10;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Condensateurs;5;10;15;;;;
117;Guide de durée de vie d'un matériel .pdf;7;11;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Câblage depuis TGBT;;40;;;;;
118;Guide de durée de vie d'un matériel .pdf;7;12;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Armoire électrique;12;35;;;;;
119;Guide de durée de vie d'un matériel .pdf;7;13;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Chemin de câbles;;50;;;;;
120;Guide de durée de vie d'un matériel .pdf;7;14;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Coffret de prises étanches 32A mono;;40;;;;;
121;Guide de durée de vie d'un matériel .pdf;7;15;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Coffret PC 16A-32A-63A;15;20;25;;;;
122;Guide de durée de vie d'un matériel .pdf;7;16;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Moteur électrique;;Moteur premium de classe IE3 < 15kW;;15;;;;;IND-UT-123
123;Guide de durée de vie d'un matériel .pdf;7;17;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Moteur électrique;;Moteur premium de classe IE3 >15kW;;20;;;;;IND-UT-123
124;Guide de durée de vie d'un matériel .pdf;7;18;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Moteur électrique;;Moteur haut rendement IE2 < 15 KW;;15;;;;;IND-UT-112
125;Guide de durée de vie d'un matériel .pdf;7;19;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Moteur électrique;;Moteur haut rendement IE2 > 15 KW;;20;;;;;IND-UT-112
126;Guide de durée de vie d'un matériel .pdf;7;20;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Moteur électrique;;Système de variation électronique de vitesse sur un moteur asynchrone;;15;;;;;BAT-TH-112
127;Guide de durée de vie d'un matériel .pdf;7;21;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;TG Ondulé;;40;;;;;
128;Guide de durée de vie d'un matériel .pdf;7;22;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;Onduleur 10 kVA - 10 minutes;;15;;;;;
129;Guide de durée de vie d'un matériel .pdf;7;23;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;Batteries;3;7;10;;;;
130;Guide de durée de vie d'un matériel .pdf;7;24;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;Condensateurs;5;10;15;;;;
131;Guide de durée de vie d'un matériel .pdf;7;25;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;Groupe électrogène : moteur diesel + alternateur en standby;20;30;;;;;
132;Guide de durée de vie d'un matériel .pdf;7;26;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Alimentation secourue ou protégée (Onduleurs, etc.);;Groupe électrogène : moteur diesel + alternateur + volant d'inertie tournant;;20;;;;;
133;Guide de durée de vie d'un matériel .pdf;7;27;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;;;Câblage éclairage;;40;;;;;
134;Guide de durée de vie d'un matériel .pdf;7;28;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;;;Appareil d'éclairage;;15;;;;;
135;Guide de durée de vie d'un matériel .pdf;7;29;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Eclairage extérieur - Lampadaire, …;;25;;;;;
136;Guide de durée de vie d'un matériel .pdf;7;30;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Eclairage de sécurité de type BAES;;10;;;;;BAT-EQ-10
137;Guide de durée de vie d'un matériel .pdf;7;31;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Luminaire d'éclairage Général à modules LED (Sans automatisme);;13;;;;;BAT-EQ-127
138;Guide de durée de vie d'un matériel .pdf;7;32;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Système de mise sur repos automatique de blocs autonomes d'éclairage de sécurité;;10;;;;;BAT-EQ-13
139;Guide de durée de vie d'un matériel .pdf;7;33;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Luminaires pour tube fluorescent T5 électronique avec ou sans dispositif de contrôle (Eclairage bureaux);;15;;;;;BAT-EQ-01
140;Guide de durée de vie d'un matériel .pdf;7;34;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Nappe d'éclairage fluorescent en tube T5;;10;;;;;BAT-EQ-11
141;Guide de durée de vie d'un matériel .pdf;7;35;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Luminaires avec ballast électronique pour tube T8 avec ou sans dispositif de contrôle;;15;;;;;BAT-EQ-06
142;Guide de durée de vie d'un matériel .pdf;7;36;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Luminaire pour lampe iodure métallique céramique à ballast électronique (Eclairage bureaux);;15;;;;;BAT-EQ-08
143;Guide de durée de vie d'un matériel .pdf;7;37;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Luminaire pour lampe fluorescente compacte à ballast électronique séparé (Eclairage bureaux);;15;;;;;BAT-EQ-09
144;Guide de durée de vie d'un matériel .pdf;7;38;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Horloge sur un dispositif d'éclairage;;15;;;;;BAT-EQ-02
145;Guide de durée de vie d'un matériel .pdf;7;39;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort - Eclairage :;Eclairage intérieur, extérieur, de sécurité;;Détecteur de présence sur un dispositif d'éclairage;5;7;;;;;
146;Guide de durée de vie d'un matériel .pdf;7;40;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Terminaux de chauffage :;;;Plancher rayonnant électrique et plafond rayonnant plâtre avec dispositif de réglage automatique;;30;;;;;BAR-TH-28
147;Guide de durée de vie d'un matériel .pdf;7;41;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Terminaux de chauffage :;;;Système solaire combiné (couplé à des émetteurs de chauffage de type basse température);;15;;;;;BAR-TH-43
148;Guide de durée de vie d'un matériel .pdf;7;42;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Coffret fibre optique (Amplificateur);;25;30;;;;
149;Guide de durée de vie d'un matériel .pdf;7;43;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Câblage fibre optique;;40;;;;;
150;Guide de durée de vie d'un matériel .pdf;7;44;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Câblage informatique;;40;;;;;
151;Guide de durée de vie d'un matériel .pdf;7;45;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Câblage téléphonique;;40;;;;;
152;Guide de durée de vie d'un matériel .pdf;7;46;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Antenne Wifi;;7;;;;;
153;Guide de durée de vie d'un matériel .pdf;7;47;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Détection de gaz;;16;;;;;
154;Guide de durée de vie d'un matériel .pdf;7;48;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Sonorisation d'ambiance (haut-parleurs);;20;;;;;
155;Guide de durée de vie d'un matériel .pdf;7;49;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Interphonie;6;8;10;;;;
156;Guide de durée de vie d'un matériel .pdf;7;50;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant Faible, hors Sûreté et Sécurité :;;;Vidéoprojecteur + écran;;10;15;;;;
157;Guide de durée de vie d'un matériel .pdf;7;51;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Système de GTB pour un chauffage électrique dans bâtiment de grande taille;;12;;;;;BAT-th-16
158;Guide de durée de vie d'un matériel .pdf;7;52;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Système de GTB;;15;;;;;
159;Guide de durée de vie d'un matériel .pdf;7;53;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Moniteur de GTB;;15;;;;;
160;Guide de durée de vie d'un matériel .pdf;7;54;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Réseau de GTB;;30;;;;;
161;Guide de durée de vie d'un matériel .pdf;7;55;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Contôleur - Automate;;15;;;;;BAT-th-17
162;Guide de durée de vie d'un matériel .pdf;7;56;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Gestion Technique Centralisée (GTB / GTC);;;Point de GTB / GTC;;20;;;;;
163;Guide de durée de vie d'un matériel .pdf;8;1;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière de type condensation dans bâtiment de grande taille;;22;;;;;BAT-TH-102
164;Guide de durée de vie d'un matériel .pdf;8;2;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière Individuelle de type condensation < 30 KW;;17;;;;;BAR-TH-106
165;Guide de durée de vie d'un matériel .pdf;8;3;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière Individuelle de type condensation > 30 KW ou dans bâtiment de grande taille;;22;;;;;
166;Guide de durée de vie d'un matériel .pdf;8;4;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière de type basse consommation P < 30 KW;;15;;;;;
167;Guide de durée de vie d'un matériel .pdf;8;5;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière de type basse consommation P > 30 KW ou dans bâtiment de grande taille;;20;;;;;
168;Guide de durée de vie d'un matériel .pdf;8;6;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière individuelle de type biomasse;;17;;;;;BAR-TH-113
169;Guide de durée de vie d'un matériel .pdf;8;7;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière murale;8;10;12;;;;
170;Guide de durée de vie d'un matériel .pdf;8;8;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière au sol moyenne puissance;10;12;15;;;;
171;Guide de durée de vie d'un matériel .pdf;8;9;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière gaz TF 120-300 kW;15;20;25;;;;
172;Guide de durée de vie d'un matériel .pdf;8;10;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Chaudière grande puissance;20;25;30;;;;
173;Guide de durée de vie d'un matériel .pdf;8;11;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Bruleur gaz;;20;;;;;
174;Guide de durée de vie d'un matériel .pdf;8;12;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Chaudières;;Bruleur fuel;;20;;;;;
175;Guide de durée de vie d'un matériel .pdf;8;13;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Conduits de fumée;;Conduit de fumée autostable;;30;;;;;
176;Guide de durée de vie d'un matériel .pdf;8;14;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Conduits de fumée;;Conduits chauds (Carneaux);;10;;;;;
177;Guide de durée de vie d'un matériel .pdf;8;15;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Conduits de fumée;;Cheminée;;50;;;;;
178;Guide de durée de vie d'un matériel .pdf;8;16;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Echangeurs de chaleur;;Echangeur tube cuivre ou inox;;10;20;;;;
179;Guide de durée de vie d'un matériel .pdf;8;17;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Echangeurs de chaleur;;Echangeur à plaques;;20;30;;;;
180;Guide de durée de vie d'un matériel .pdf;8;18;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;;Echangeurs de chaleur;;Récupérateur de chaleur à condensation;;11;;;;;BAR-TH-122
181;Guide de durée de vie d'un matériel .pdf;8;19;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Robinetterie;;Vannes, robinets, filtres, clapets < DN 50;5;10;15;;;;
182;Guide de durée de vie d'un matériel .pdf;8;20;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Robinetterie;;Vannes, robinets, filtres, clapets ≥ DN 50;15;20;25;;;;
183;Guide de durée de vie d'un matériel .pdf;8;21;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Robinetterie;;Soupapes de sureté;;10;15;;;;
184;Guide de durée de vie d'un matériel .pdf;8;22;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Tuyauterie;;Eau et Vapeur;;25;30;;;;
185;Guide de durée de vie d'un matériel .pdf;8;23;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Tuyauterie;;Condensats;;12;18;;;;
186;Guide de durée de vie d'un matériel .pdf;8;24;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Pompes;;Circulateur chauffage;;10;15;;;;
187;Guide de durée de vie d'un matériel .pdf;8;25;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Pompes;;Pompe chauffage sur socle;;15;25;;;;
188;Guide de durée de vie d'un matériel .pdf;8;26;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Expansion et accessoires;;Vase d'expansion à membrane;;12;;;;;
189;Guide de durée de vie d'un matériel .pdf;8;27;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Expansion et accessoires;;Maintien de pression pneumatique;;15;;;;;
190;Guide de durée de vie d'un matériel .pdf;8;28;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Expansion et accessoires;;Maintien de pression hydraulique;;20;;;;;
191;Guide de durée de vie d'un matériel .pdf;8;29;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Calorifuge et revêtement extérieur;;Calorifuge échangeurs;;15;;;;;
192;Guide de durée de vie d'un matériel .pdf;8;30;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de chaleur :;Calorifuge et revêtement extérieur;;Isolation d'un réseau hydraulique de chauffage ou d'ECS;;20;;;;;BAR-TH-115/131
193;Guide de durée de vie d'un matériel .pdf;8;31;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Radiateurs, panneaux rayonnants ou radiants (Emetteur statique).;;Radiateur fonte;25;40;;;;;
194;Guide de durée de vie d'un matériel .pdf;8;32;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Radiateurs, panneaux rayonnants ou radiants (Emetteur statique).;;Radiateur et convecteur acier (Basse température);15;35;;;;;BAR-TH-110
195;Guide de durée de vie d'un matériel .pdf;8;33;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Radiateurs, panneaux rayonnants ou radiants (Emetteur statique).;;Radiateur fonte aluminium;;30;;;;;
196;Guide de durée de vie d'un matériel .pdf;8;34;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Radiateurs, panneaux rayonnants ou radiants (Emetteur statique).;;Robinets manuels;15;30;;;;;
197;Guide de durée de vie d'un matériel .pdf;8;35;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Radiateurs, panneaux rayonnants ou radiants (Emetteur statique).;;Robinets thermostatique;10;20;;;;;BAR-TH-117
198;Guide de durée de vie d'un matériel .pdf;8;36;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Convecteurs, aérotherme (Emetteur dynamique).;;Aérotherme, ventilo convecteur et cassettes au plafond;;15;;;;;
199;Guide de durée de vie d'un matériel .pdf;8;37;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Convecteurs, aérotherme (Emetteur dynamique).;;Ejecto convecteur;;20;25;;;;
200;Guide de durée de vie d'un matériel .pdf;8;38;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Convecteurs, aérotherme (Emetteur dynamique).;;Vannes de régulation;8;10;12;;;;
201;Guide de durée de vie d'un matériel .pdf;8;39;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux de chauffage :;Plancher chauffant.;;Plancher chauffant à eau basse température;;50;;;;;BAR-TH-116
202;Guide de durée de vie d'un matériel .pdf;8;40;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Groupes frigorifiques à détente directe;;Compresseur de type ouvert;15;20;25;;;;
203;Guide de durée de vie d'un matériel .pdf;8;41;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Groupes frigorifiques à détente directe;;Compresseur de type hermétique;15;20;25;;;;
204;Guide de durée de vie d'un matériel .pdf;8;42;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Groupe Carrier à condensation par air 300 à 500 kW;15;20;25;;;;
205;Guide de durée de vie d'un matériel .pdf;8;43;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Groupe à pistons;15;18;20;;;;
206;Guide de durée de vie d'un matériel .pdf;8;44;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Groupe centrifuge;15;20;25;;;;
207;Guide de durée de vie d'un matériel .pdf;8;45;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Groupe à vis;15;18;20;;;;
208;Guide de durée de vie d'un matériel .pdf;8;46;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Pompe à huile;10;12;15;;;;
209;Guide de durée de vie d'un matériel .pdf;8;47;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Générateur de production d’eau glacée;;Garniture et paliers;5;8;10;;;;
210;Guide de durée de vie d'un matériel .pdf;8;48;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Tour de refroidissement, Dry-cooler, condenseur à air;;Tour de refroidissement, condenseur à air;20;30;40;;;;
211;Guide de durée de vie d'un matériel .pdf;8;49;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Tour de refroidissement, Dry-cooler, condenseur à air;;Dry-cooler;15;20;25;;;;
212;Guide de durée de vie d'un matériel .pdf;8;50;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Récupérateur de chaleur sur groupe de production de froid;;Echangeur tube cuivre ou inox;;10;20;;;;
213;Guide de durée de vie d'un matériel .pdf;8;51;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Production de froid :;Récupérateur de chaleur sur groupe de production de froid;;Echangeur à plaques;;20;30;;;;
214;Guide de durée de vie d'un matériel .pdf;8;52;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de froid :;;;Pompes;;15;25;;;;
215;Guide de durée de vie d'un matériel .pdf;8;53;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de froid :;;;Organes de sécurité et de réglages;;10;15;;;;
216;Guide de durée de vie d'un matériel .pdf;8;54;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de froid :;;;Expansion et accessoires;12;15;20;;;;
217;Guide de durée de vie d'un matériel .pdf;8;55;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Distribution de froid :;;;Calorifuge, revêtement extérieur et pare-vapeur;;20;;;;;
218;Guide de durée de vie d'un matériel .pdf;8;56;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Terminaux :;;;Ventilo-convecteurs, cassettes au plafond …;;15;;;;;
219;Guide de durée de vie d'un matériel .pdf;9;1;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Aérothermes;;Rideau d'air chaud;;15;;;;;
220;Guide de durée de vie d'un matériel .pdf;9;2;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Centrales de traitement d’air, boites de détente et systèmes de diffusion;;Unité autonome de traitement d'air en toiture (Roof-top);10;15;18;;;;
221;Guide de durée de vie d'un matériel .pdf;9;3;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Centrales de traitement d’air, boites de détente et systèmes de diffusion;;CTA simple ou double flux à récupération d'énergie;15;20;25;;;;
222;Guide de durée de vie d'un matériel .pdf;9;4;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Centrales de traitement d’air, boites de détente et systèmes de diffusion;;Humidificateur;12;15;18;;;;
223;Guide de durée de vie d'un matériel .pdf;9;5;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Centrales de traitement d’air, boites de détente et systèmes de diffusion;;Gaine aéraulique;30;40;;;;;
224;Guide de durée de vie d'un matériel .pdf;9;6;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Centrales de traitement d’air, boites de détente et systèmes de diffusion;;Piège à sons;;40;;;;;
225;Guide de durée de vie d'un matériel .pdf;9;7;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Ventilateurs d’extraction, VMC;;Caisson d'extraction VMC;20;25;30;;;;
226;Guide de durée de vie d'un matériel .pdf;9;8;A.2;Installations et équipements;A.2.3;Les installations de Chauffage – Ventilation – Climatisation;Installation aérauliques :;Ventilateurs d’extraction, VMC;;Ventilation mécanique contrôlée à double flux;;17;;;;;BAT-TH-126
